"Step","training-starcoder2-3b-python-text_only - train/sft_loss","training-starcoder2-3b-python-text_only - train/sft_loss__MIN","training-starcoder2-3b-python-text_only - train/sft_loss__MAX","training-starcoder2-3b-python-formal_sft - train/sft_loss","training-starcoder2-3b-python-formal_sft - train/sft_loss__MIN","training-starcoder2-3b-python-formal_sft - train/sft_loss__MAX","training-starcoder2-3b-python - train/iwae_loss","training-starcoder2-3b-python - train/iwae_loss__MIN","training-starcoder2-3b-python - train/iwae_loss__MAX"
"17","0.9416917562484741","0.9416917562484741","0.9416917562484741","2.88102388381958","2.88102388381958","2.88102388381958","1.0755436420440674","1.0755436420440674","1.0755436420440674"
"18","1.8976184129714966","1.8976184129714966","1.8976184129714966","1.9904619455337524","1.9904619455337524","1.9904619455337524","0.8325067758560181","0.8325067758560181","0.8325067758560181"
"19","1.1366899013519287","1.1366899013519287","1.1366899013519287","3.247096538543701","3.247096538543701","3.247096538543701","0.6001224517822266","0.6001224517822266","0.6001224517822266"
"20","1.303234577178955","1.303234577178955","1.303234577178955","2.8493363857269287","2.8493363857269287","2.8493363857269287","0.7762009501457214","0.7762009501457214","0.7762009501457214"
"21","0.8881301283836365","0.8881301283836365","0.8881301283836365","2.613786220550537","2.613786220550537","2.613786220550537","0.6184437274932861","0.6184437274932861","0.6184437274932861"
"22","1.55028235912323","1.55028235912323","1.55028235912323","2.2747621536254883","2.2747621536254883","2.2747621536254883","0.8733483552932739","0.8733483552932739","0.8733483552932739"
"23","0.9866529703140259","0.9866529703140259","0.9866529703140259","2.232609510421753","2.232609510421753","2.232609510421753","0.7288063764572144","0.7288063764572144","0.7288063764572144"
"24","0.912605345249176","0.912605345249176","0.912605345249176","2.9097814559936523","2.9097814559936523","2.9097814559936523","0.5929912328720093","0.5929912328720093","0.5929912328720093"
"25","1.291398286819458","1.291398286819458","1.291398286819458","1.7369669675827026","1.7369669675827026","1.7369669675827026","0.8346707820892334","0.8346707820892334","0.8346707820892334"
"26","2.0390772819519043","2.0390772819519043","2.0390772819519043","1.8797297477722168","1.8797297477722168","1.8797297477722168","0.9847338795661926","0.9847338795661926","0.9847338795661926"
"27","1.089916467666626","1.089916467666626","1.089916467666626","1.8783687353134155","1.8783687353134155","1.8783687353134155","0.7638949751853943","0.7638949751853943","0.7638949751853943"
"28","1.1861577033996582","1.1861577033996582","1.1861577033996582","2.295175790786743","2.295175790786743","2.295175790786743","0.8441208004951477","0.8441208004951477","0.8441208004951477"
